,name,title,latitude,longtitude,address1,address2,address3,city,zip_code,country,state,display_address
15737,Soul Boat,"['Soul Food', 'Seafood']",39.9316669734185,-75.1691339537501,1422 Dickinson St,,,Philadelphia,19146,US,PA,"1422 Dickinson St Philadelphia, PA 19146 "
15741,Green Eggs Cafe,"['Breakfast & Brunch', 'American (New)']",39.931348,-75.166497,1306 Dickinson St,,,Philadelphia,19147,US,PA,"1306 Dickinson St Philadelphia, PA 19147 "
15743,Artisan Boulanger Patissier,"['Bakeries', 'French', 'Coffee & Tea']",39.9264181,-75.1664513,1218 Mifflin St,,,Philadelphia,19148,US,PA,"1218 Mifflin St Philadelphia, PA 19148 "
15745,Mr Martino's Trattoria,['Italian'],39.929019,-75.164705,1646 E Passyunk Ave,,,Philadelphia,19148,US,PA,"1646 E Passyunk Ave Philadelphia, PA 19148 "
15761,Chinatown Dumpling House,['Chinese'],39.955283864236634,-75.15662429999999,1016-18 Race St,,,Philadelphia,19107,US,PA,"1016-18 Race St Philadelphia, PA 19107 "
15768,Ting Wong Restaurant,"['Chinese', 'Noodles', 'Seafood']",39.954754,-75.156191,138 N 10th St,,,Philadelphia,19107,US,PA,"138 N 10th St Philadelphia, PA 19107 "
15771,Bai Wei,"['Szechuan', 'Dim Sum']",39.9554281843515,-75.1565556577565,1038 Race St,,,Philadelphia,19107,US,PA,"1038 Race St Philadelphia, PA 19107 "
15778,M Kee,['Chinese'],39.955231,-75.15612,1002 Race St,,,Philadelphia,19107,US,PA,"1002 Race St Philadelphia, PA 19107 "
15780,More Sugar,"['Desserts', 'Breakfast & Brunch']",39.9547447,-75.15751806791569,125 N 11th St,,,Philadelphia,19107,US,PA,"125 N 11th St Philadelphia, PA 19107 "
15783,Ho Sai Gai Restaurant,['Chinese'],39.9552230834961,-75.1560592651367,1000 Race St,,,Philadelphia,19107,US,PA,"1000 Race St Philadelphia, PA 19107 "
15789,Million’s Crab Boiled Seafood,"['Cajun/Creole', 'Seafood', 'American (New)']",39.95403,-75.157369,1025 Arch St,,,Philadelphia,19107,US,PA,"1025 Arch St Philadelphia, PA 19107 "
15790,Chuan Kee Skewer,"['Chinese', 'Barbeque', 'Hot Pot']",39.95549,-75.15526,927 Race St,,,Philadelphia,19107,US,PA,"927 Race St Philadelphia, PA 19107 "
15791,Pho Xe Lua Viet Thai Restaurant,"['Vietnamese', 'Thai']",39.9554199,-75.15465,907 Race St,,,Philadelphia,19107,US,PA,"907 Race St Philadelphia, PA 19107 "
15792,Shi Miao Dao Yunnan Rice Noodle,"['Chinese', 'Noodles']",39.955318,-75.154557,901 Race St,,,Philadelphia,19107,US,PA,"901 Race St Philadelphia, PA 19107 "
15793,Dae Bak,['Korean'],39.95517,-75.15667,1016 Race St,Fl 2,,Philadelphia,19107,US,PA,"1016 Race St Fl 2 Philadelphia, PA 19107 "
15795,Good Harvest 大丰收,"['Seafood', 'Cantonese']",39.95551,-75.15558,937 Race St,,,Philadelphia,19107,US,PA,"937 Race St Philadelphia, PA 19107 "
15796,Vietnam Restaurant,['Vietnamese'],39.95623,-75.15713,221 N 11th St,,,Philadelphia,19107,US,PA,"221 N 11th St Philadelphia, PA 19107 "
15797,Tenth Floor Grill,['American (New)'],39.95349,-75.15816,1100 Arch St,,,Philadelphia,19107,US,PA,"1100 Arch St Philadelphia, PA 19107 "
15799,Shang Hai 1,"['Shanghainese', 'Taiwanese']",39.9541205693138,-75.1560343422407,123 N 10th St,,,Philadelphia,19107,US,PA,"123 N 10th St Philadelphia, PA 19107 "
16070,Delaney's Soul Food,['Soul Food'],39.939294,-75.255713,407 Church Ln,,,Yeadon,19050,US,PA,"407 Church Ln Yeadon, PA 19050 "
16076,Supreme Oasis Bakery & Deli-Philly,"['Fast Food', 'Soul Food', 'American (New)']",39.96917,-75.21172,4401 Lancaster Ave,,,Philadelphia,19104,US,PA,"4401 Lancaster Ave Philadelphia, PA 19104 "
16077,El Toro Lounge,['Mexican'],39.9694999,-75.21182,898 Belmont Ave,,,Philadelphia,19104,US,PA,"898 Belmont Ave Philadelphia, PA 19104 "
16215,Major's,"['Convenience Stores', 'Delis']",39.93768,-75.25446,517 Church Ln,,,Lansdowne,19050,US,PA,"517 Church Ln Lansdowne, PA 19050 "
